;deterministic;time
0;1,53;2018-04-28 03:00:00
1;1,52;2018-04-28 06:00:00
2;1,53;2018-04-28 09:00:00
3;1,52;2018-04-28 12:00:00
4;1,46;2018-04-28 15:00:00
5;1,47;2018-04-28 18:00:00
6;1,55;2018-04-28 21:00:00
7;1,64;2018-04-29 00:00:00
8;1,68;2018-04-29 03:00:00
9;1,69;2018-04-29 06:00:00
10;1,68;2018-04-29 09:00:00
11;1,66;2018-04-29 12:00:00
12;1,64;2018-04-29 15:00:00
13;1,62;2018-04-29 18:00:00
14;1,59;2018-04-29 21:00:00
15;1,56;2018-04-30 00:00:00
16;1,53;2018-04-30 03:00:00
17;1,54;2018-04-30 06:00:00
18;1,78;2018-04-30 09:00:00
19;2,35;2018-04-30 12:00:00
20;2,77;2018-04-30 15:00:00
21;3,02;2018-04-30 18:00:00
22;3,15;2018-04-30 21:00:00
23;3,2;2018-05-01 00:00:00
24;3,27;2018-05-01 03:00:00
25;3,31;2018-05-01 06:00:00
26;3,3000000000000003;2018-05-01 09:00:00
27;3,25;2018-05-01 12:00:00
28;3,27;2018-05-01 15:00:00
29;3,62;2018-05-01 18:00:00
30;4,01;2018-05-01 21:00:00
31;3,97;2018-05-02 00:00:00
32;3,75;2018-05-02 03:00:00
33;3,52;2018-05-02 06:00:00
34;3,27;2018-05-02 09:00:00
35;3,11;2018-05-02 12:00:00
36;3,02;2018-05-02 15:00:00
37;2,86;2018-05-02 18:00:00
38;2,73;2018-05-02 21:00:00
39;2,68;2018-05-03 00:00:00
40;2,53;2018-05-03 03:00:00
41;2,3000000000000003;2018-05-03 06:00:00
42;2,12;2018-05-03 09:00:00
43;1,99;2018-05-03 12:00:00
44;1,87;2018-05-03 15:00:00
45;1,74;2018-05-03 18:00:00
46;1,64;2018-05-03 21:00:00
47;1,57;2018-05-04 00:00:00
48;1,52;2018-05-04 03:00:00
49;1,49;2018-05-04 06:00:00
50;1,46;2018-05-04 09:00:00
51;1,47;2018-05-04 12:00:00
52;1,49;2018-05-04 15:00:00
53;1,49;2018-05-04 18:00:00
54;1,52;2018-05-04 21:00:00
55;1,53;2018-05-05 00:00:00
56;1,52;2018-05-05 03:00:00
57;1,49;2018-05-05 06:00:00
58;1,46;2018-05-05 09:00:00
59;1,47;2018-05-05 12:00:00
60;1,52;2018-05-05 15:00:00
61;1,52;2018-05-05 18:00:00
62;1,47;2018-05-05 21:00:00
63;1,42;2018-05-06 00:00:00
64;1,41;2018-05-06 03:00:00
65;1,41;2018-05-06 06:00:00
66;1,43;2018-05-06 09:00:00
67;1,43;2018-05-06 12:00:00
68;1,37;2018-05-06 15:00:00
69;1,32;2018-05-06 18:00:00
70;1,29;2018-05-06 21:00:00
71;1,29;2018-05-07 00:00:00
72;1,3;2018-05-07 03:00:00
73;1,3;2018-05-07 06:00:00
74;1,29;2018-05-07 09:00:00
75;1,28;2018-05-07 12:00:00
76;1,3;2018-05-07 15:00:00
77;1,34;2018-05-07 18:00:00
78;1,37;2018-05-07 21:00:00
79;1,35;2018-05-08 00:00:00
80;1,31;2018-05-08 03:00:00
81;1,28;2018-05-08 06:00:00
82;1,25;2018-05-08 09:00:00
83;1,28;2018-05-08 12:00:00
84;1,36;2018-05-08 15:00:00
85;1,45;2018-05-08 18:00:00
86;1,5;2018-05-08 21:00:00
87;1,6;2018-05-09 00:00:00
88;1,75;2018-05-09 03:00:00
89;1,83;2018-05-09 06:00:00
90;1,83;2018-05-09 09:00:00
91;1,76;2018-05-09 12:00:00
92;1,69;2018-05-09 15:00:00
93;1,65;2018-05-09 18:00:00
94;1,63;2018-05-09 21:00:00
95;1,66;2018-05-10 00:00:00
96;1,82;2018-05-10 03:00:00
97;1,94;2018-05-10 06:00:00
98;1,94;2018-05-10 09:00:00
99;1,9;2018-05-10 12:00:00
100;1,85;2018-05-10 15:00:00
101;1,81;2018-05-10 18:00:00
102;1,76;2018-05-10 21:00:00
103;1,71;2018-05-11 00:00:00
104;1,67;2018-05-11 03:00:00
105;1,69;2018-05-11 06:00:00
106;1,72;2018-05-11 09:00:00
107;1,72;2018-05-11 12:00:00
108;1,72;2018-05-11 15:00:00
109;1,74;2018-05-11 18:00:00
110;1,74;2018-05-11 21:00:00
111;1,73;2018-05-12 00:00:00
112;1,69;2018-05-12 03:00:00
113;1,6;2018-05-12 06:00:00
114;1,51;2018-05-12 09:00:00
115;1,44;2018-05-12 12:00:00
116;1,42;2018-05-12 15:00:00
117;1,46;2018-05-12 18:00:00
118;1,49;2018-05-12 21:00:00
119;1,49;2018-05-13 00:00:00
120;1,47;2018-05-13 03:00:00
121;1,48;2018-05-13 06:00:00
122;1,53;2018-05-13 09:00:00
123;1,61;2018-05-13 12:00:00
124;1,76;2018-05-13 15:00:00
125;2,08;2018-05-13 18:00:00
126;2,36;2018-05-13 21:00:00
127;2,53;2018-05-14 00:00:00
